20.0	0.00
20.5	0.00
20.9	0.00
21.4	0.00
21.9	0.00
22.4	0.00
23.0	0.00
23.5	0.00
24.1	0.00
24.6	0.00
25.2	0.00
25.8	0.00
26.4	0.00
27.0	0.00
27.6	0.00
28.3	0.00
28.9	0.00
29.6	0.00
30.3	0.00
31.0	0.00
31.7	0.00
32.5	0.00
33.2	0.00
34.0	0.00
34.8	0.00
35.6	0.00
36.5	0.00
37.3	0.00
38.2	0.00
39.1	0.00
40.0	0.00
40.9	0.00
41.9	0.00
42.9	0.00
43.9	-0.02
44.9	-0.03
45.9	-0.04
47.0	-0.05
48.1	-0.05
49.2	-0.05
50.4	-0.05
51.6	-0.05
52.8	-0.05
54.0	-0.04
55.3	-0.04
56.6	-0.03
57.9	-0.03
59.2	-0.03
60.6	-0.03
62.0	-0.03
63.5	-0.03
65.0	-0.03
66.5	-0.03
68.0	-0.03
69.6	-0.04
71.3	-0.04
72.9	-0.02
74.6	-0.02
76.4	-0.01
78.2	-0.01
80.0	0.01
81.9	0.02
83.8	0.02
85.7	0.03
87.7	0.04
89.8	0.04
91.9	0.04
94.0	0.04
96.2	0.03
98.5	0.03
100.8	0.02
103.1	0.02
105.5	0.03
108.0	0.03
110.5	0.04
113.1	0.05
115.8	0.07
118.5	0.08
121.2	0.10
124.1	0.13
127.0	0.14
129.9	0.16
133.0	0.18
136.1	0.19
139.3	0.21
142.5	0.23
145.8	0.24
149.3	0.25
152.7	0.27
156.3	0.28
160.0	0.28
163.7	0.29
167.5	0.29
171.5	0.30
175.5	0.30
179.6	0.30
183.8	0.30
188.1	0.30
192.4	0.29
196.9	0.29
201.5	0.28
206.3	0.27
211.1	0.26
216.0	0.24
221.1	0.23
226.2	0.20
231.5	0.16
236.9	0.12
242.5	0.07
248.1	0.01
253.9	-0.05
259.9	-0.11
265.9	-0.16
272.2	-0.21
278.5	-0.26
285.0	-0.29
291.7	-0.31
298.5	-0.33
305.5	-0.34
312.6	-0.34
319.9	-0.34
327.4	-0.34
335.1	-0.32
342.9	-0.29
350.9	-0.27
359.1	-0.24
367.5	-0.23
376.1	-0.20
384.9	-0.18
393.9	-0.16
403.1	-0.15
412.5	-0.14
422.1	-0.15
432.0	-0.15
442.1	-0.15
452.4	-0.15
463.0	-0.15
473.8	-0.15
484.9	-0.14
496.2	-0.13
507.8	-0.12
519.7	-0.10
531.8	-0.08
544.3	-0.06
557.0	-0.05
570.0	-0.03
583.3	-0.02
597.0	0.00
610.9	0.01
625.2	0.01
639.8	0.02
654.8	0.03
670.1	0.03
685.7	0.03
701.7	0.04
718.1	0.03
734.9	0.03
752.1	0.03
769.7	0.01
787.7	0.01
806.1	-0.00
824.9	-0.01
844.2	-0.01
863.9	-0.01
884.1	-0.01
904.8	-0.01
925.9	0.01
947.6	0.02
969.7	0.03
992.4	0.04
1015.6	0.06
1039.3	0.07
1063.6	0.07
1088.5	0.08
1113.9	0.08
1139.9	0.08
1166.6	0.07
1193.8	0.06
1221.8	0.06
1250.3	0.04
1279.5	0.04
1309.4	0.03
1340.0	0.04
1371.4	0.04
1403.4	0.05
1436.2	0.06
1469.8	0.08
1504.1	0.08
1539.3	0.09
1575.3	0.11
1612.1	0.11
1649.7	0.12
1688.3	0.12
1727.8	0.13
1768.1	0.13
1809.5	0.13
1851.8	0.14
1895.0	0.14
1939.3	0.14
1984.7	0.14
2031.0	0.14
2078.5	0.14
2127.1	0.14
2176.8	0.14
2227.7	0.14
2279.7	0.14
2333.0	0.14
2387.6	0.13
2443.4	0.13
2500.5	0.13
2558.9	0.12
2618.7	0.13
2679.9	0.13
2742.5	0.13
2806.6	0.13
2872.2	0.13
2939.4	0.14
3008.1	0.16
3078.4	0.17
3150.3	0.20
3223.9	0.24
3299.3	0.28
3376.4	0.34
3455.3	0.40
3536.1	0.47
3618.7	0.52
3703.3	0.58
3789.8	0.62
3878.4	0.66
3969.1	0.69
4061.8	0.72
4156.8	0.75
4253.9	0.78
4353.3	0.84
4455.1	0.89
4559.2	0.96
4665.8	1.03
4774.8	1.10
4886.4	1.17
5000.6	1.22
5117.5	1.28
5237.1	1.34
5359.5	1.39
5484.8	1.47
5612.9	1.54
5744.1	1.61
5878.4	1.68
6015.8	1.74
6156.4	1.80
6300.2	1.82
6447.5	1.85
6598.2	1.87
6752.4	1.88
6910.2	1.92
7071.7	1.94
7237.0	1.98
7406.1	2.01
7579.2	2.05
7756.4	2.08
7937.7	2.12
8123.2	2.16
8313.0	2.20
8507.3	2.25
8706.1	2.30
8909.6	2.37
9117.9	2.44
9331.0	2.49
9549.0	2.55
9772.2	2.61
10000.6	2.63
10234.3	2.66
10473.5	2.68
10718.3	2.68
10968.8	2.68
11225.2	2.66
11487.5	2.65
11756.0	2.63
12030.8	2.59
12312.0	2.56
12599.7	2.52
12894.2	2.48
13195.6	2.43
13504.0	2.38
13819.6	2.31
14142.6	2.25
14473.1	2.18
14811.4	2.09
15157.5	2.01
15511.8	1.90
15874.3	1.79
16245.3	1.66
16625.0	1.54
17013.6	1.38
17411.2	1.20
17818.2	0.98
18234.6	0.71
18660.8	0.38
19096.9	0.34
19543.2	0.33
20000.0	0.33
